Ticker,Cambio(%) 1_dia,Fecha
FB,-1,22-dic-20
FISV,-1,22-dic-20
FOX,-1,22-dic-20
FOXA,-1,22-dic-20
GILD,-1,22-dic-20
GOOG,-1,22-dic-20
GOOGL,-1,22-dic-20
IDXX,1,22-dic-20
ILMN,1,22-dic-20
INCY,1,22-dic-20
INTC,-1,22-dic-20
INTU,1,22-dic-20
ISRG,1,22-dic-20
JD,1,22-dic-20
KHC,-1,22-dic-20
KLAC,-1,22-dic-20
LBTYA,-1,22-dic-20
LBTYK,1,22-dic-20
LRCX,-1,22-dic-20
LULU,-1,22-dic-20
MAR,-1,22-dic-20
MCHP,-1,22-dic-20
MDLZ,-1,22-dic-20
MELI,1,22-dic-20
MNST,-1,22-dic-20
MRNA,-1,22-dic-20
MSFT,1,22-dic-20
MU,-1,22-dic-20
MXIM,1,22-dic-20
NFLX,-1,22-dic-20
NTES,-1,22-dic-20
NVDA,-1,22-dic-20
NXPI,-1,22-dic-20
ORLY,1,22-dic-20
PAYX,1,22-dic-20
PCAR,-1,22-dic-20
PDD,-1,22-dic-20
PEP,-1,22-dic-20
PYPL,1,22-dic-20
QCOM,-1,22-dic-20
REGN,-1,22-dic-20
ROST,-1,22-dic-20
SBUX,-1,22-dic-20
SGEN,-1,22-dic-20
SIRI,-1,22-dic-20
SNPS,1,22-dic-20
SPLK,1,22-dic-20
SWKS,1,22-dic-20
TCOM,-1,22-dic-20
TMUS,1,22-dic-20
TSLA,-1,22-dic-20
TTWO,1,22-dic-20
TXN,1,22-dic-20
ULTA,-1,22-dic-20
VRSK,-1,22-dic-20
VRSN,1,22-dic-20
VRTX,1,22-dic-20
WBA,-1,22-dic-20
WDAY,1,22-dic-20
WDC,-1,22-dic-20
XEL,-1,22-dic-20
XLNX,-1,22-dic-20
ZM,1,22-dic-20
AAPL,1,22-dic-20
AXP,-1,22-dic-20
BA,-1,22-dic-20
CAT,-1,22-dic-20
CSCO,-1,22-dic-20
CVX,-1,22-dic-20
DIS,-1,22-dic-20
DOW,-1,22-dic-20
GS,-1,22-dic-20
HD,-1,22-dic-20
IBM,1,22-dic-20
INTC,-1,22-dic-20
JNJ,-1,22-dic-20
JPM,-1,22-dic-20
KO,-1,22-dic-20
MCD,1,22-dic-20
MMM,-1,22-dic-20
MRK,1,22-dic-20
MSFT,1,22-dic-20
NKE,-1,22-dic-20
PFE,-1,22-dic-20
PG,-1,22-dic-20
RTX,-1,22-dic-20
TRV,-1,22-dic-20
UNH,-1,22-dic-20
V,-1,22-dic-20
VZ,-1,22-dic-20
WBA,-1,22-dic-20
WMT,-1,22-dic-20
XOM,-1,22-dic-20
A,-1,23-dic-20
AAL,1,23-dic-20
AAP,-1,23-dic-20
AAPL,-1,23-dic-20
